DATE,USD3MTD156N
2000-01-04,6.04250
2000-01-05,6.03000
2000-01-06,6.03000
2000-01-07,6.03000
2000-01-10,6.02625
2000-01-11,6.03000
2000-01-12,6.03938
2000-01-13,6.04000
2000-01-14,6.04000
2000-01-17,6.03625
2000-01-18,6.03500
2000-01-19,6.03750
2000-01-20,6.04000
2000-01-21,6.04000
2000-01-24,6.04000
2000-01-25,6.04000
2000-01-26,6.04000
2000-01-27,6.04000
2000-01-28,6.04875
2000-01-31,6.07750
2000-02-01,6.09125
2000-02-02,6.10000
2000-02-03,6.09750
2000-02-04,6.09000
2000-02-07,6.10000
2000-02-08,6.10000
2000-02-09,6.10000
2000-02-10,6.09875
2000-02-11,6.09625
2000-02-14,6.09000
2000-02-15,6.09000
2000-02-16,6.09000
2000-02-17,6.09000
2000-02-18,6.11000
2000-02-21,6.11000
2000-02-22,6.11000
2000-02-23,6.11000
2000-02-24,6.11000
2000-02-25,6.10125
2000-02-28,6.10125
2000-02-29,6.10875
2000-03-01,6.11000
2000-03-02,6.11875
2000-03-03,6.12000
2000-03-06,6.12000
2000-03-07,6.12688
2000-03-08,6.13000
2000-03-09,6.14000
2000-03-10,6.14375
2000-03-13,6.15000
2000-03-14,6.16000
2000-03-15,6.17250
2000-03-16,6.19125
2000-03-17,6.21000
2000-03-20,6.22875
2000-03-21,6.24125
2000-03-22,6.24625
2000-03-23,6.24750
2000-03-24,6.25500
2000-03-27,6.28000
2000-03-28,6.28000
2000-03-29,6.28000
2000-03-30,6.29000
2000-03-31,6.29000
2000-04-03,6.29000
2000-04-04,6.29000
2000-04-05,6.27125
2000-04-06,6.27125
2000-04-07,6.28000
2000-04-10,6.28000
2000-04-11,6.28000
2000-04-12,6.28375
2000-04-13,6.28125
2000-04-14,6.28125
2000-04-17,6.28250
2000-04-18,6.29250
2000-04-19,6.31000
2000-04-20,6.31813
2000-04-21,.
2000-04-24,.
2000-04-25,6.33375
2000-04-26,6.37500
2000-04-27,6.39125
2000-04-28,6.50250
2000-05-01,.
2000-05-02,6.56875
2000-05-03,6.60000
2000-05-04,6.65250
2000-05-05,6.67000
2000-05-08,6.70000
2000-05-09,6.71875
2000-05-10,6.72000
2000-05-11,6.72000
2000-05-12,6.73375
2000-05-15,6.76000
2000-05-16,6.76125
2000-05-17,6.80875
2000-05-18,6.81875
2000-05-19,6.82000
2000-05-22,6.82000
2000-05-23,6.82000
2000-05-24,6.82000
2000-05-25,6.82750
2000-05-26,6.82625
2000-05-29,.
2000-05-30,6.84000
2000-05-31,6.86250
2000-06-01,6.86875
2000-06-02,6.85125
2000-06-05,6.79250
2000-06-06,6.79000
2000-06-07,6.79750
2000-06-08,6.80000
2000-06-09,6.81000
2000-06-12,6.81000
2000-06-13,6.81000
2000-06-14,6.79250
2000-06-15,6.77750
2000-06-16,6.77500
2000-06-19,6.76188
2000-06-20,6.76125
2000-06-21,6.76500
2000-06-22,6.77250
2000-06-23,6.77000
2000-06-26,6.77438
2000-06-27,6.77500
2000-06-28,6.78000
2000-06-29,6.77875
2000-06-30,6.76938
2000-07-03,6.77000
2000-07-04,6.75000
2000-07-05,6.74500
2000-07-06,6.74000
2000-07-07,6.74375
2000-07-10,6.73000
2000-07-11,6.73125
2000-07-12,6.73125
2000-07-13,6.73375
2000-07-14,6.73000
2000-07-17,6.74000
2000-07-18,6.74000
2000-07-19,6.74000
2000-07-20,6.74000
2000-07-21,6.71750
2000-07-24,6.71375
2000-07-25,6.71500
2000-07-26,6.71250
2000-07-27,6.71250
2000-07-28,6.71125
2000-07-31,6.72188
2000-08-01,6.72000
2000-08-02,6.72000
2000-08-03,6.71375
2000-08-04,6.71000
2000-08-07,6.69125
2000-08-08,6.69000
2000-08-09,6.68813
2000-08-10,6.68125
2000-08-11,6.68000
2000-08-14,6.68750
2000-08-15,6.69000
2000-08-16,6.69000
2000-08-17,6.69000
2000-08-18,6.69000
2000-08-21,6.69000
2000-08-22,6.69000
2000-08-23,6.69000
2000-08-24,6.68000
2000-08-25,6.68000
2000-08-28,.
2000-08-29,6.68000
2000-08-30,6.68000
2000-08-31,6.68000
2000-09-01,6.67250
2000-09-04,6.65375
2000-09-05,6.65313
2000-09-06,6.65438
2000-09-07,6.66000
2000-09-08,6.66000
2000-09-11,6.66000
2000-09-12,6.66000
2000-09-13,6.66000
2000-09-14,6.66000
2000-09-15,6.66000
2000-09-18,6.66000
2000-09-19,6.65875
2000-09-20,6.66000
2000-09-21,6.66000
2000-09-22,6.66000
2000-09-25,6.66000
2000-09-26,6.66000
2000-09-27,6.66000
2000-09-28,6.81500
2000-09-29,6.81125
2000-10-02,6.80438
2000-10-03,6.80250
2000-10-04,6.80250
2000-10-05,6.80250
2000-10-06,6.80250
2000-10-09,6.80000
2000-10-10,6.80188
2000-10-11,6.79875
2000-10-12,6.79813
2000-10-13,6.77063
2000-10-16,6.77375
2000-10-17,6.77000
2000-10-18,6.76000
2000-10-19,6.76000
2000-10-20,6.76125
2000-10-23,6.76000
2000-10-24,6.76000
2000-10-25,6.76000
2000-10-26,6.75875
2000-10-27,6.75750
2000-10-30,6.75875
2000-10-31,6.76000
2000-11-01,6.75875
2000-11-02,6.75125
2000-11-03,6.75063
2000-11-06,6.75375
2000-11-07,6.75813
2000-11-08,6.75938
2000-11-09,6.76000
2000-11-10,6.76000
2000-11-13,6.75938
2000-11-14,6.75813
2000-11-15,6.75750
2000-11-16,6.75875
2000-11-17,6.75063
2000-11-20,6.75313
2000-11-21,6.75063
2000-11-22,6.75063
2000-11-23,6.75000
2000-11-24,6.74875
2000-11-27,6.74875
2000-11-28,6.74875
2000-11-29,6.73625
2000-11-30,6.71500
2000-12-01,6.68625
2000-12-04,6.68375
2000-12-05,6.67750
2000-12-06,6.61750
2000-12-07,6.57750
2000-12-08,6.57000
2000-12-11,6.58000
2000-12-12,6.58000
2000-12-13,6.58000
2000-12-14,6.54750
2000-12-15,6.54938
2000-12-18,6.53625
2000-12-19,6.52000
2000-12-20,6.50000
2000-12-21,6.46375
2000-12-22,6.45000
2000-12-25,.
2000-12-26,.
2000-12-27,6.43813
2000-12-28,6.40125
2000-12-29,6.39875
2001-01-01,.
2001-01-02,6.37125
2001-01-03,6.28625
2001-01-04,5.86625
2001-01-05,5.69500
2001-01-08,5.61625
2001-01-09,5.62375
2001-01-10,5.65000
2001-01-11,5.67625
2001-01-12,5.67875
2001-01-15,5.74125
2001-01-16,5.73875
2001-01-17,5.73875
2001-01-18,5.64875
2001-01-19,5.61125
2001-01-22,5.58125
2001-01-23,5.57250
2001-01-24,5.61000
2001-01-25,5.59750
2001-01-26,5.56750
2001-01-29,5.54250
2001-01-30,5.52500
2001-01-31,5.42125
2001-02-01,5.39000
2001-02-02,5.39750
2001-02-05,5.41000
2001-02-06,5.41000
2001-02-07,5.41000
2001-02-08,5.40875
2001-02-09,5.41000
2001-02-12,5.38750
2001-02-13,5.38875
2001-02-14,5.40000
2001-02-15,5.41250
2001-02-16,5.41000
2001-02-19,5.38313
2001-02-20,5.38000
2001-02-21,5.37000
2001-02-22,5.34500
2001-02-23,5.30000
2001-02-26,5.19375
2001-02-27,5.10375
2001-02-28,5.05250
2001-03-01,5.08875
2001-03-02,5.08250
2001-03-05,5.08000
2001-03-06,5.09000
2001-03-07,5.07375
2001-03-08,5.06000
2001-03-09,5.04000
2001-03-12,5.05750
2001-03-13,5.03375
2001-03-14,5.02000
2001-03-15,4.94250
2001-03-16,4.90000
2001-03-19,4.88000
2001-03-20,4.88625
2001-03-21,4.87000
2001-03-22,4.85625
2001-03-23,4.86000
2001-03-26,4.86875
2001-03-27,4.86000
2001-03-28,4.90250
2001-03-29,4.87625
2001-03-30,4.87875
2001-04-02,4.84000
2001-04-03,4.84625
2001-04-04,4.81000
2001-04-05,4.80375
2001-04-06,4.80625
2001-04-09,4.74125
2001-04-10,4.74000
2001-04-11,4.76000
2001-04-12,4.77875
2001-04-13,.
2001-04-16,.
2001-04-17,4.80875
2001-04-18,4.82750
2001-04-19,4.41000
2001-04-20,4.41750
2001-04-23,4.38375
2001-04-24,4.36000
2001-04-25,4.34000
2001-04-26,4.34000
2001-04-27,4.31375
2001-04-30,4.33625
2001-05-01,4.34000
2001-05-02,4.30750
2001-05-03,4.29875
2001-05-04,4.27000
2001-05-07,.
2001-05-08,4.09875
2001-05-09,4.08500
2001-05-10,4.06000
2001-05-11,4.07000
2001-05-14,4.12125
2001-05-15,4.10313
2001-05-16,4.03000
2001-05-17,4.04000
2001-05-18,4.05500
2001-05-21,4.07625
2001-05-22,4.07500
2001-05-23,4.07000
2001-05-24,4.05625
2001-05-25,4.03000
2001-05-28,.
2001-05-29,4.00000
2001-05-30,4.00000
2001-05-31,3.99000
2001-06-01,3.94250
2001-06-04,3.94000
2001-06-05,3.94000
2001-06-06,3.92750
2001-06-07,3.91813
2001-06-08,3.91563
2001-06-11,3.91000
2001-06-12,3.89875
2001-06-13,3.89000
2001-06-14,3.87750
2001-06-15,3.85125
2001-06-18,3.78688
2001-06-19,3.75750
2001-06-20,3.75000
2001-06-21,3.73875
2001-06-22,3.73000
2001-06-25,3.70500
2001-06-26,3.70000
2001-06-27,3.71000
2001-06-28,3.79000
2001-06-29,3.83625
2001-07-02,3.83000
2001-07-03,3.82000
2001-07-04,3.82750
2001-07-05,3.82000
2001-07-06,3.81000
2001-07-09,3.79000
2001-07-10,3.79000
2001-07-11,3.76000
2001-07-12,3.77000
2001-07-13,3.75875
2001-07-16,3.76000
2001-07-17,3.76000
2001-07-18,3.76000
2001-07-19,3.71000
2001-07-20,3.70875
2001-07-23,3.70000
2001-07-24,3.70000
2001-07-25,3.70000
2001-07-26,3.70500
2001-07-27,3.69625
2001-07-30,3.67875
2001-07-31,3.67000
2001-08-01,3.65625
2001-08-02,3.65000
2001-08-03,3.65625
2001-08-06,3.65000
2001-08-07,3.64375
2001-08-08,3.63750
2001-08-09,3.59500
2001-08-10,3.58875
2001-08-13,3.57000
2001-08-14,3.56000
2001-08-15,3.56000
2001-08-16,3.56125
2001-08-17,3.54750
2001-08-20,3.52875
2001-08-21,3.52750
2001-08-22,3.51250
2001-08-23,3.51250
2001-08-24,3.51750
2001-08-27,.
2001-08-28,3.52500
2001-08-29,3.50000
2001-08-30,3.49000
2001-08-31,3.46250
2001-09-03,3.46563
2001-09-04,3.46625
2001-09-05,3.52000
2001-09-06,3.52000
2001-09-07,3.48625
2001-09-10,3.36000
2001-09-11,3.36000
2001-09-12,3.15625
2001-09-13,3.15000
2001-09-14,3.15000
2001-09-17,3.11000
2001-09-18,2.96500
2001-09-19,2.78313
2001-09-20,2.60250
2001-09-21,2.61500
2001-09-24,2.60000
2001-09-25,2.60000
2001-09-26,2.59125
2001-09-27,2.60000
2001-09-28,2.59000
2001-10-01,2.60000
2001-10-02,2.59250
2001-10-03,2.50000
2001-10-04,2.50000
2001-10-05,2.48125
2001-10-08,2.44000
2001-10-09,2.43125
2001-10-10,2.43000
2001-10-11,2.43000
2001-10-12,2.45625
2001-10-15,2.43125
